序號,河川名稱,河川代碼,階層,上游河川,主流水系
,河背排水,13404B,4,大坪溪,中港溪
,埔尾幹線,13404C,4,大坪溪,中港溪
,峨眉溪2號幹線,13404D,4,大坪溪,中港溪
,大湖排水,13404E,4,大坪溪,中港溪
,社寮坑幹線,134042,3,峨眉溪,中港溪
,峨嵋溪1號幹線,134043,3,峨眉溪,中港溪
,胡爐肚排水,134044,3,峨眉溪,中港溪
,背山排水,134045,3,峨眉溪,中港溪
,水流東排水,134046,3,峨眉溪,中港溪
,富興排水,134047,3,峨眉溪,中港溪
,庚寮坑排水,134048,3,峨眉溪,中港溪
,南港溪,134050,2,中港溪,中港溪
,公館仔排水,134051,3,南港溪,中港溪
,造橋排水,134052,3,南港溪,中港溪
,大西排水,134053,3,南港溪,中港溪
,射流溝排水,134060,2,中港溪,中港溪
,蜆仔溝排水,134070,2,中港溪,中港溪
,灰寮溝排水,134080,2,中港溪,中港溪
,灰寮溝支線排水,134081,3,灰寮溝排水,中港溪
,九車籠排水,134090,2,中港溪,中港溪
,大潭排水支線,134091,3,九車籠排水,中港溪
,龍昇排水支線,134092,3,九車籠排水,中港溪
,帝爺廟前排水支線,134093,3,九車籠排水,中港溪
,九車籠排水支線,134094,3,九車籠排水,中港溪
,談水湖排水,1340A0,2,中港溪,中港溪
,東興排水,1340B0,2,中港溪,中港溪
,土牛溪排水,1340C0,2,中港溪,中港溪
,南河圳排水,1340D0,2,中港溪,中港溪
35.0,後龍溪,135000,1,,後龍溪
,大湖溪,135010,2,後龍溪,後龍溪
,南湖溪,135020,2,後龍溪,後龍溪
,南湖坑排水,135021,3,南湖溪,後龍溪
,竹桐坑排水,135022,3,南湖溪,後龍溪
,汶水溪,135030,2,後龍溪,後龍溪
,鹽水坑溪,135040,2,後龍溪,後龍溪
,雞隆河,135050,2,後龍溪,後龍溪
,沙河溪,135060,2,後龍溪,後龍溪
,打馬溝溪,135061,3,沙河溪,後龍溪
,飛鳳溪,135062,3,沙河溪,後龍溪
,老田寮溪,135070,2,後龍溪,後龍溪
,拔仔崗溪,135071,3,老田寮溪,後龍溪
,新店溪,135080,2,後龍溪,後龍溪
,塭堀溝排水,135090,2,後龍溪,後龍溪
,北勢溪排水,1350A0,2,後龍溪,後龍溪
,大埒尾支線,1350A1,3,北勢溪排水,後龍溪
,南勢坑排水,1350B0,2,後龍溪,後龍溪
,龍坑支線,1350B1,3,南勢坑排水,後龍溪
,水尾大排,1350C0,2,後龍溪,後龍溪
,水尾仔圳,1350C1,3,水尾大排,後龍溪
,西山排水,1350D0,2,後龍溪,後龍溪
,東河排水,1350E0,2,後龍溪,後龍溪
,嘉盛排水,1350F0,2,後龍溪,後龍溪
,公館排水,1350G0,2,後龍溪,後龍溪
,山下圳支線,1350G1,3,公館排水,後龍溪
,北幹線支線,1350G2,3,公館排水,後龍溪
,茄苳溪,1350H0,2,後龍溪,後龍溪
36.0,西湖溪,136000,1,,西湖溪
,海口排水,136010,2,西湖溪,西湖溪
,四季坑排水,136020,2,西湖溪,西湖溪
,新埤圳排水,136030,2,西湖溪,西湖溪
,二湖坑排水,136040,2,西湖溪,西湖溪
,楓廚坑排水,136050,2,西湖溪,西湖溪
,營盤坑排水,136060,2,西湖溪,西湖溪
,斧頭坑排水,136070,2,西湖溪,西湖溪
,大坑排水,136080,2,西湖溪,西湖溪
,鴨母坑排水（龍洞溪）,136090,2,西湖溪,西湖溪
,高埔排水,1360A0,2,西湖溪,西湖溪
,五湖排水,1360B0,2,西湖溪,西湖溪
,水尾溪排水,1360C0,2,西湖溪,西湖溪
,烏眉溪排水,1360C1,3,水尾溪排水,西湖溪
,二十份排水,1360C2,3,水尾溪排水,西湖溪
37.0,通霄溪,137000,1,,通霄溪
,內湖溪排水,137010,2,通霄溪,通霄溪
,圳頭溪排水,137011,3,內湖溪排水,通霄溪
,楓樹溪排水,137012,3,內湖溪排水,通霄溪
38.0,苑裡溪,138000,1,,苑裡溪
,中溝支線排水,138010,2,苑裡溪,苑裡溪
,錦山溝支線排水,138020,2,苑裡溪,苑裡溪
39.0,房裡溪,139000,1,,房裡溪
,南勢林支線排水,139010,2,房裡溪,房裡溪
,十股坑排水,139020,2,房裡溪,房裡溪
40.0,大安溪,140000,1,,大安溪
,馬達拉溪,140010,2,大安溪,大安溪
,雪山溪,140020,2,大安溪,大安溪
,大雪溪,140030,2,大安溪,大安溪
,北坑溪,140040,2,大安溪,大安溪
,雪山坑溪,140050,2,大安溪,大安溪
,烏石坑溪,140060,2,大安溪,大安溪
,景山溪,140070,2,大安溪,大安溪
,老庄溪排水,140080,2,大安溪,大安溪
,卓蘭圳支線排水,140081,3,老庄溪排水,大安溪
,打鐵坑支線排水,140082,3,老庄溪排水,大安溪
,陰溝支線排水,140083,3,老庄溪排水,大安溪
,內灣圳排水,140090,2,大安溪,大安溪
,電火溪排水,1400A0,2,大安溪,大安溪
,石壁坑圳排水,1400B0,2,大安溪,大安溪
,菜園溪支線,1400B1,3,石壁坑圳排水,大安溪
41.0,溫寮溪,141000,1,,溫寮溪
,松子腳排水,141010,2,溫寮溪,溫寮溪
,后里排水,141020,2,溫寮溪,溫寮溪
,外埔第三排水,141030,2,溫寮溪,溫寮溪
,外埔第二排水,141040,2,溫寮溪,溫寮溪
42.0,大甲溪,142000,1,,大甲溪
,七家灣溪,142010,2,大甲溪,大甲溪
,四季郎溪,142020,2,大甲溪,大甲溪
,志樂溪,142030,2,大甲溪,大甲溪
,匹亞桑溪,142040,2,大甲溪,大甲溪
,食水嵙溪排水,142050,2,大甲溪,大甲溪
,番仔埤溝支線,142051,3,食水嵙溪排水,大甲溪
,水美湖底溝排水,142060,2,大甲溪,大甲溪
,三崁排水,142070,2,大甲溪,大甲溪
,旱溝排水,142080,2,大甲溪,大甲溪
,月眉排水支線,142081,3,旱溝排水,大甲溪
,舊社溝支線,142082,3,旱溝排水,大甲溪
,軟埤仔溪排水,142090,2,大甲溪,大甲溪
,陽明山排水,142091,3,軟埤仔溪排水,大甲溪
,下溪洲支線,142092,3,軟埤仔溪排水,大甲溪
,下溪洲分線,14209A,4,下溪洲支線,大甲溪
,牛稠坑溝排水,1420A0,2,大甲溪,大甲溪
,樟仔腳溝支線,1420A1,3,牛稠坑溝排水,大甲溪
,崁腳溝排水,1420B0,2,大甲溪,大甲溪
,鍋底嵙溝排水,1420C0,2,大甲溪,大甲溪
,沙連溪排水,1420D0,2,大甲溪,大甲溪
,中嵙溪支線,1420D1,3,沙連溪排水,大甲溪
,石角溪支線,1420D2,3,沙連溪排水,大甲溪
,旱坑排水,1420E0,2,大甲溪,大甲溪
,頭隘坑排水,1420F0,2,大甲溪,大甲溪
,北港溪,143010,2,大甲溪,大甲溪
,水長流溪,143011,3,北港溪,大甲溪
,水長流排水幹線-2,14301A,4,水長流溪,大甲溪
,水長流排水幹線-3,14301B,4,水長流溪,大甲溪
